                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.60184,                0.62262,                0.87297,                0.96969,                      1,                  0.995,                0.90472,                0.54539,                0.52142,                0.86044,             0.00095548,             0.00095548,             0.00095548
                    122,                 0.5954,                0.61605,                0.88524,                0.97346,                      1,                  0.995,                 0.8916,                0.58004,                0.49732,                0.87837,               0.000953,               0.000953,               0.000953
                    123,                0.62368,                0.61082,                0.89875,                0.97346,                      1,                  0.995,                 0.8916,                0.58004,                0.49732,                0.87837,             0.00095053,             0.00095053,             0.00095053
                    124,                 0.5954,                0.61492,                0.89352,                0.98531,                      1,                  0.995,                0.88632,                0.57987,                0.49138,                0.87734,             0.00094805,             0.00094805,             0.00094805
                    125,                0.58649,                0.60948,                0.88082,                0.98531,                      1,                  0.995,                0.88632,                0.57987,                0.49138,                0.87734,             0.00094558,             0.00094558,             0.00094558
                    126,                0.59602,                0.62911,                0.88296,                0.97069,                      1,                  0.995,                0.88127,                0.55529,                0.50962,                0.86921,              0.0009431,              0.0009431,              0.0009431
                    127,                0.60314,                0.60892,                0.90083,                0.97069,                      1,                  0.995,                0.88127,                0.55529,                0.50962,                0.86921,             0.00094062,             0.00094062,             0.00094062
                    128,                0.60016,                0.60602,                0.88885,                0.98379,                      1,                  0.995,                0.90591,                0.54876,                 0.4807,                0.87173,             0.00093815,             0.00093815,             0.00093815
                    129,                0.57194,                0.58152,                0.88024,                0.98379,                      1,                  0.995,                0.90591,                0.54876,                 0.4807,                0.87173,             0.00093567,             0.00093567,             0.00093567
                    130,                0.62736,                0.62492,                0.91209,                 0.9887,                      1,                  0.995,                0.89542,                0.57571,                 0.4781,                0.87688,              0.0009332,              0.0009332,              0.0009332
                    131,                0.60957,                0.58372,                  0.903,                 0.9887,                      1,                  0.995,                0.89542,                0.57571,                 0.4781,                0.87688,             0.00093073,             0.00093073,             0.00093073
                    132,                0.62222,                0.61005,                0.90199,                0.99003,                      1,                  0.995,                0.86912,                0.60654,                0.49751,                0.87883,             0.00092825,             0.00092825,             0.00092825
                    133,                0.62875,                0.61697,                 0.9106,                0.99003,                      1,                  0.995,                0.86912,                0.60654,                0.49751,                0.87883,             0.00092577,             0.00092577,             0.00092577
                    134,                0.63273,                0.60628,                0.89501,                0.98777,                      1,                  0.995,                0.86327,                0.59554,                0.49465,                0.88007,              0.0009233,              0.0009233,              0.0009233
                    135,                0.61593,                0.60356,                0.89751,                0.98777,                      1,                  0.995,                0.86327,                0.59554,                0.49465,                0.88007,             0.00092083,             0.00092083,             0.00092083
                    136,                0.61694,                0.57555,                0.91292,                0.97643,                      1,                  0.995,                0.88535,                0.55046,                0.47674,                 0.8766,             0.00091835,             0.00091835,             0.00091835
                    137,                 0.6314,                0.61604,                0.92658,                0.97643,                      1,                  0.995,                0.88535,                0.55046,                0.47674,                 0.8766,             0.00091588,             0.00091588,             0.00091588
                    138,                0.62652,                0.61007,                0.93007,                 0.9587,                      1,                  0.995,                0.86473,                0.58225,                0.51303,                0.88577,              0.0009134,              0.0009134,              0.0009134
                    139,                0.61318,                0.63316,                0.93276,                 0.9587,                      1,                  0.995,                0.86473,                0.58225,                0.51303,                0.88577,             0.00091092,             0.00091092,             0.00091092
                    140,                0.63005,                0.59293,                 0.8899,                0.96972,                0.99849,                  0.995,                0.86937,                0.57978,                  0.529,                0.88473,             0.00090845,             0.00090845,             0.00090845
                    141,                0.63533,                0.58302,                0.88887,                0.96972,                0.99849,                  0.995,                0.86937,                0.57978,                  0.529,                0.88473,             0.00090597,             0.00090597,             0.00090597
                    142,                0.64552,                0.61539,                0.92416,                0.98281,                      1,                  0.995,                 0.9007,                0.53768,                 0.5198,                0.86606,              0.0009035,              0.0009035,              0.0009035
                    143,                0.62233,                0.60812,                0.91559,                0.98281,                      1,                  0.995,                 0.9007,                0.53768,                 0.5198,                0.86606,             0.00090103,             0.00090103,             0.00090103
                    144,                0.57772,                0.59381,                 0.9058,                0.98598,                      1,                  0.995,                0.90613,                0.50501,                0.50746,                0.85089,             0.00089855,             0.00089855,             0.00089855
                    145,                0.59184,                0.56341,                0.86222,                0.98598,                      1,                  0.995,                0.90613,                0.50501,                0.50746,                0.85089,             0.00089607,             0.00089607,             0.00089607
                    146,                0.60008,                0.60603,                0.90079,                 0.9773,                      1,                  0.995,                0.90563,                0.48705,                0.51492,                0.84227,              0.0008936,              0.0008936,              0.0008936
                    147,                0.58352,                0.58424,                0.86383,                 0.9773,                      1,                  0.995,                0.90563,                0.48705,                0.51492,                0.84227,             0.00089112,             0.00089112,             0.00089112
                    148,                 0.5666,                0.56818,                0.88654,                0.97084,                      1,                  0.995,                0.90084,                0.49317,                0.50437,                0.84247,             0.00088865,             0.00088865,             0.00088865
                    149,                0.56943,                0.54637,                0.85455,                0.97084,                      1,                  0.995,                0.90084,                0.49317,                0.50437,                0.84247,             0.00088618,             0.00088618,             0.00088618
                    150,                0.57297,                 0.5664,                0.87972,                0.97837,                      1,                  0.995,                0.92078,                0.47857,                0.47917,                0.83946,              0.0008837,              0.0008837,              0.0008837
                    151,                0.57824,                 0.5838,                0.87789,                0.97837,                      1,                  0.995,                0.92078,                0.47857,                0.47917,                0.83946,             0.00088122,             0.00088122,             0.00088122
                    152,                0.59356,                0.60232,                0.91588,                0.98176,                      1,                  0.995,                0.92204,                0.46763,                0.46586,                0.83747,             0.00087875,             0.00087875,             0.00087875
                    153,                0.56793,                 0.5618,                0.88044,                0.98176,                      1,                  0.995,                0.92204,                0.46763,                0.46586,                0.83747,             0.00087628,             0.00087628,             0.00087628
                    154,                0.55495,                0.55226,                  0.856,                0.98104,                      1,                  0.995,                0.90792,                0.45878,                0.45677,                 0.8359,              0.0008738,              0.0008738,              0.0008738
